time/s,Ewe/V,<I>/mA
7210.012342457194,2.080333,-10.98965470657064
7225.012343169656,2.0789549,-10.98971355615687
7240.012343882117,2.0775769,-10.98949891383309
7255.012344594579,2.0761986,-10.98949812686108
7270.012345307041,2.0746632,-10.98948551000478
7285.012346019503,2.0732455,-10.98948735428367
7300.012346731965,2.0719855,-10.98956223157401
7315.012347444426,2.0705287,-10.98960558230031
7330.012348156888,2.0692294,-10.98956143951574
7345.01234886935,2.0678513,-10.98945583484038
7360.012349581812,2.0663157,-10.98944689929393
7375.012350294273,2.0649769,-10.98943061269904
7390.012351006735,2.0635593,-10.98945845553728
7405.012351719197,2.0619843,-10.98953779818488
7420.012352431659,2.0607638,-10.98942115619212
7435.01235314412,2.0593069,-10.98931763790175
7450.012353856582,2.0578499,-10.98953648669202
7465.012354569044,2.0563538,-10.98953647880831
7480.012355281506,2.0549362,-10.98950705821136
7495.012355993968,2.0535581,-10.98922201209249
7510.012356706429,2.0522194,-10.98906621426868
7525.012357418891,2.050802,-10.98923356770006
7540.012358131353,2.04966,-10.98916447285471
7555.012358843815,2.0481639,-10.98930792339416
7570.012359556276,2.0467069,-10.98920651030795
7585.012360268738,2.0452106,-10.9893609808715
7600.0123609812,2.0437932,-10.98936939456739
7615.012361693662,2.0422182,-10.98918759843853
7630.012362406123,2.0408401,-10.98907961580816
7645.012363118585,2.0393438,-10.98910615465578
7660.012363831047,2.0378082,-10.98912243184108
7675.012364543509,2.0363119,-10.98912978886588
7690.012365255971,2.0347764,-10.98907489028857
7705.012365968432,2.0332012,-10.98891463308386
7720.012366680894,2.0315869,-10.98902181500931
7735.012367393356,2.0301695,-10.98905413274154
7750.012368105818,2.0286338,-10.98906357958456
7765.012368818279,2.0270195,-10.98913031809152
7780.012369530741,2.0255232,-10.98912795488667
7795.012370243203,2.0238695,-10.98917235681633
7810.012370955665,2.0224125,-10.98923987593747
7825.012371668126,2.0206409,-10.98926009675662
7840.012372380588,2.0191445,-10.98925984079044
7855.01237309305,2.0173333,-10.98923566794512
7870.012373805512,2.0157189,-10.98932736436207
7885.012374517974,2.0141439,-10.98943480403388
7900.012375230435,2.0124507,-10.9893326085533
7915.012375942897,2.0109153,-10.98939277268416
7930.012376655359,2.0092614,-10.9895301793447
7945.012377367821,2.007529,-10.98969988924163
7960.012378080282,2.0061114,-10.98962108904396
7975.012378792744,2.0044971,-10.98953306783334
7990.012379505206,2.0028434,-10.98953201790154
8005.012380217668,2.0012684,-10.98947999382564
8020.012380930129,1.9995753,-10.98948551445526
